	QiY201	QiY202	QiY203	QiY204	QiY205	QiY206	QiY207	Description
EC:1.1.1.49	52775	23448	25857	36038	51801	30705	20270	Glucose-6-phosphate dehydrogenase (NADP(+))
EC:1.1.1.51	612	268	778	1173	34949	2165	168	3(or 17)-beta-hydroxysteroid dehydrogenase
EC:1.1.1.53	1767	3029	1240	1919	9602	3882	1014	3-alpha(or 20-beta)-hydroxysteroid dehydrogenase
EC:1.1.1.56	2620	572	1522	1888	1296	1943	221	Ribitol 2-dehydrogenase
EC:1.1.1.57	9075	4055	6963	14239	3393	12501	888	Fructuronate reductase
EC:1.1.1.58	8442	5487	4843	7172	1575	4291	364	Tagaturonate reductase
EC:1.1.1.6	892	1656	2610	5215	2766	698	646	Glycerol dehydrogenase
EC:1.1.1.60	33699	8437	9865	13703	20193	11753	15385	2-hydroxy-3-oxopropionate reductase
EC:1.1.1.61	158	94	307	756	171	58	284	4-hydroxybutyrate dehydrogenase
EC:1.1.1.65	113	864	941	388	2108	543	0	Pyridoxine 4-dehydrogenase
EC:1.1.1.67	4835	1726	2761	4537	4115	5549	665	Mannitol 2-dehydrogenase
EC:1.1.1.69	35736	9128	10001	13138	13208	12546	4680	Gluconate 5-dehydrogenase
EC:1.1.1.76	3799	3012	4542	7661	12104	4827	1692	"(S,S)-butanediol dehydrogenase"
EC:1.1.1.77	362	801	417	906	121	54	345	Lactaldehyde reductase
EC:1.1.1.79	33260	4333	9741	12501	10550	11144	4089	Glyoxylate reductase (NADP(+))
EC:1.1.1.8	29	259	218	186	324	16	36	Glycerol-3-phosphate dehydrogenase (NAD(+))
EC:1.1.1.81	65732	10279	19590	24641	31066	23341	14203	Hydroxypyruvate reductase
EC:1.1.1.82	0	0	0	0	6	0	0	Malate dehydrogenase (NADP(+))
EC:1.1.1.83	29120	4292	7325	9752	10228	8434	6188	D-malate dehydrogenase (decarboxylating)
EC:1.1.1.85	52337	22022	26378	37222	47694	30915	29467	3-isopropylmalate dehydrogenase
EC:1.1.1.86	53501	22097	27360	38082	47276	30139	28951	Ketol-acid reductoisomerase (NADP(+))
EC:1.1.1.87	55	110	91	128	817	90	989	Homoisocitrate dehydrogenase
EC:1.1.1.88	1274	1491	2452	2534	5047	875	2667	Hydroxymethylglutaryl-CoA reductase
EC:1.1.1.9	2975	715	1285	2103	797	3642	109	D-xylulose reductase
EC:1.1.1.90	1093	778	843	1284	1199	4593	638	Aryl-alcohol dehydrogenase
EC:1.1.1.91	122	1537	332	406	266	2009	34	Aryl-alcohol dehydrogenase (NADP(+))
EC:1.1.1.93	29120	4292	7325	9752	10228	8434	6188	Tartrate dehydrogenase
EC:1.1.1.94	53005	23277	28651	38516	44304	30512	27738	Glycerol-3-phosphate dehydrogenase (NAD(P)(+))
EC:1.1.1.95	70095	36665	44957	57062	64056	48536	38487	Phosphoglycerate dehydrogenase
EC:1.1.2.3	13915	9809	15183	21766	24796	23175	7597	L-lactate dehydrogenase (cytochrome)
EC:1.1.2.4	29314	4753	7124	8804	13493	9203	10126	D-lactate dehydrogenase (cytochrome)
EC:1.1.2.6	177	158	214	266	78	452	84	Polyvinyl alcohol dehydrogenase (cytochrome)
EC:1.1.2.7	670	568	556	388	1266	676	450	Methanol dehydrogenase (cytochrome c)
EC:1.1.2.8	6072	2449	5205	9836	23442	10283	2099	Alcohol dehydrogenase (cytochrome c)
EC:1.1.3.12	0	0	0	0	0	47	3	Pyridoxine 4-oxidase
EC:1.1.3.15	38790	18166	16357	21187	27664	14569	28002	(S)-2-hydroxy-acid oxidase
EC:1.1.3.17	0	54	1	0	11	0	0	Choline oxidase
EC:1.1.3.21	8	38	12	17	10	0	47	Glycerol-3-phosphate oxidase
EC:1.1.3.41	551	2042	566	1078	1157	1805	154	Alditol oxidase
EC:1.1.3.45	39	834	179	47	57	11	0	Aclacinomycin-N oxidase
EC:1.1.3.46	524	1100	1218	848	11778	856	1940	4-hydroxymandelate oxidase
EC:1.1.3.47	100	104	99	134	145	504	47	5-(hydroxymethyl)furfural oxidase
EC:1.1.3.48	1518	3256	2810	2005	391	753	53	3-deoxy-alpha-D-manno-octulosonate 8-oxidase
EC:1.1.3.6	895	2407	1371	1089	1286	2009	1086	Cholesterol oxidase
EC:1.1.3.8	46	130	81	92	147	134	143	L-gulonolactone oxidase
EC:1.1.3.9	0	0	23	14	0	17	0	Galactose oxidase
EC:1.1.5.2	14751	4384	9140	14736	7728	15320	2285	"Quinoprotein glucose dehydrogenase (PQQ, quinone)"
EC:1.1.5.3	53111	26039	27552	44273	40312	31178	14345	Glycerol-3-phosphate dehydrogenase
EC:1.1.5.4	10283	7822	7696	9053	15144	6132	2439	Malate dehydrogenase (quinone)
EC:1.1.5.6	0	30	1371	3380	76	0	184	Formate dehydrogenase-N
EC:1.1.5.8	896	568	1169	1203	912	1138	563	Quinate dehydrogenase (quinone)
EC:1.1.9.1	5665	1247	4315	10549	3005	10264	543	Alcohol dehydrogenase (azurin)
EC:1.1.98.2	2142	291	337	916	524	1651	72	Glucose-6-phosphate dehydrogenase (coenzyme-F420)
EC:1.1.98.3	155	434	167	202	272	648	158	Decaprenylphospho-beta-D-ribofuranose 2-dehydrogenase
EC:1.1.99.1	39865	9916	17781	24250	22914	25864	7625	Choline dehydrogenase
EC:1.1.99.2	61	110	50	80	48	27	28	L-2-hydroxyglutarate dehydrogenase
EC:1.1.99.21	709	442	707	1027	559	1051	125	D-sorbitol dehydrogenase (acceptor)
EC:1.1.99.24	22	59	18	31	15	27	0	Hydroxyacid-oxoacid transhydrogenase
EC:1.1.99.28	2618	868	1536	1828	1248	2594	17	Glucose-fructose oxidoreductase
EC:1.1.99.3	2598	1684	1740	2101	1764	2150	1500	Gluconate 2-dehydrogenase (acceptor)
EC:1.1.99.31	24	21	37	91	333	356	186	(S)-mandelate dehydrogenase
EC:1.10.2.2	39261	7636	15840	22548	32390	21404	18841	Quinol--cytochrome-c reductase
EC:1.10.3.11	114	80	265	870	361	647	103	Ubiquinol oxidase (non-electrogenic)
EC:1.10.3.12	4189	2035	1402	1424	1341	1027	1570	Menaquinol oxidase (H(+)-transporting)
EC:1.10.3.3	132	29	162	507	182	1395	0	L-ascorbate oxidase
EC:1.10.5.1	0	0	0	0	4	0	0	Ribosyldihydronicotinamide dehydrogenase (quinone)
EC:1.10.9.1	773	4331	3307	1750	5039	1163	339	Plastoquinol--plastocyanin reductase
EC:1.11.1.1	623	724	262	329	487	323	413	NADH peroxidase
EC:1.11.1.10	12623	7098	11217	13181	9890	14027	2058	Chloride peroxidase
EC:1.11.1.15	137130	53378	66011	88903	128496	62302	82913	Peroxiredoxin
EC:1.11.1.19	132	109	92	156	191	593	142	Dye decolorizing peroxidase
EC:1.11.1.21	42261	14120	20292	28733	31575	23027	14066	Catalase peroxidase
EC:1.11.1.5	45893	21616	24247	23423	25051	14893	18923	Cytochrome-c peroxidase
EC:1.11.1.6	55385	19835	27225	33677	37451	31602	20225	Catalase
EC:1.11.1.7	0	0	3	0	0	0	0	Peroxidase
EC:1.11.1.9	56554	25435	35456	40737	57981	31736	24533	Glutathione peroxidase
EC:1.11.2.4	171	102	177	172	86	164	140	Fatty-acid peroxygenase
EC:1.12.1.2	810	2168	1955	1020	6880	390	9118	Hydrogen dehydrogenase
EC:1.12.1.3	3344	2185	920	907	744	484	2096	Hydrogen dehydrogenase (NADP(+))
EC:1.12.2.1	210	198	8	0	48	4	1054	Cytochrome-c3 hydrogenase
EC:1.12.5.1	99	332	0	0	28	0	5157	Hydrogen:quinone oxidoreductase
EC:1.12.7.2	966	995	418	2753	1580	452	814	Ferredoxin hydrogenase
EC:1.12.98.1	1254	1135	1379	1022	3630	723	4557	Coenzyme F420 hydrogenase
EC:1.12.99.6	2683	3137	3133	5422	8877	2454	11607	Hydrogenase (acceptor)
EC:1.13.11.1	3077	2645	3482	4632	5010	4927	1317	"Catechol 1,2-dioxygenase"
EC:1.13.11.11	15470	13032	16911	21347	11103	13966	4350	"Tryptophan 2,3-dioxygenase"
EC:1.13.11.14	58	17	1473	24	183	95	46	"2,3-dihydroxybenzoate 3,4-dioxygenase"
EC:1.13.11.15	474	463	991	2142	18147	491	685	"3,4-dihydroxyphenylacetate 2,3-dioxygenase"
EC:1.13.11.16	391	263	724	825	17410	1146	168	"3-carboxyethylcatechol 2,3-dioxygenase"
EC:1.13.11.2	11555	6786	7373	10934	37112	11568	1771	"Catechol 2,3-dioxygenase"
EC:1.13.11.20	385	461	346	564	166	263	8	Cysteine dioxygenase
EC:1.13.11.24	0	0	1	2	0	0	0	"Quercetin 2,3-dioxygenase"
EC:1.13.11.25	395	1103	646	769	18133	1429	862	dioxygenase
EC:1.13.11.27	45853	17357	25119	33665	41824	26845	6815	4-hydroxyphenylpyruvate dioxygenase
EC:1.13.11.3	8581	8442	10981	15905	28308	16513	3563	"Protocatechuate 3,4-dioxygenase"
EC:1.13.11.33	36	30	361	177	273	398	30	Arachidonate 15-lipoxygenase
EC:1.13.11.34	0	25	0	0	0	0	0	Arachidonate 5-lipoxygenase
EC:1.13.11.37	352	640	339	349	1551	675	686	"Hydroxyquinol 1,2-dioxygenase"
EC:1.13.11.39	0	22	0	0	10	44	11	"Biphenyl-2,3-diol 1,2-dioxygenase"
EC:1.13.11.4	24845	1706	2284	2401	11185	2156	2212	"Gentisate 1,2-dioxygenase"
EC:1.13.11.41	61	12	96	292	143	1119	0	"2,4'-dihydroxyacetophenone dioxygenase"
EC:1.13.11.49	1935	5112	1969	2769	8072	2783	1139	Chlorite O(2)-lyase
EC:1.13.11.5	17752	11398	15557	20168	20073	14933	2563	"Homogentisate 1,2-dioxygenase"
EC:1.13.11.52	364	747	1630	2079	1974	1990	85	"Indoleamine 2,3-dioxygenase"
EC:1.13.11.53	2421	1514	3649	2445	14272	2985	748	Acireductone dioxygenase (Ni(2+)-requiring)
EC:1.13.11.54	2421	1514	3649	2445	14272	2985	748	Acireductone dioxygenase (Fe(2+)-requiring)
EC:1.13.11.55	0	0	0	0	0	4	0	Sulfur oxygenase/reductase
EC:1.13.11.56	20	17	19	12	35	33	0	"1,2-dihydroxynaphthalene dioxygenase"
EC:1.13.11.57	32	19	6	32	71	20	72	Gallate dioxygenase
EC:1.13.11.6	4962	1120	3836	2671	2090	2389	192	"3-hydroxyanthranilate 3,4-dioxygenase"
EC:1.13.11.66	1	22	0	0	0	0	0	"Hydroquinone 1,2-dioxygenase"
EC:1.13.11.74	0	6	0	0	0	0	0	"2-aminophenol 1,6-dioxygenase"
EC:1.13.11.75	60	854	859	285	2044	94	46	"All-trans-8'-apo-beta-carotenal 15,15'-oxygenase"
EC:1.13.11.76	0	6	0	0	0	0	0	"2-amino-5-chlorophenol 1,6-dioxygenase"
EC:1.13.11.79	4378	3626	4492	4578	20570	5457	4411	"5,6-dimethylbenzimidazole synthase"
EC:1.13.11.8	6772	1895	4790	9838	39618	11086	3317	"Protocatechuate 4,5-dioxygenase"
EC:1.13.11.80	0	0	0	20	26	58	40	"(3,5-dihydroxyphenyl)acetyl-CoA 1,2-dioxygenase"
EC:1.13.11.9	203	251	487	458	618	487	344	"2,5-dihydroxypyridine 5,6-dioxygenase"
EC:1.13.12.16	94158	19817	32920	41543	60676	38912	27905	Nitronate monooxygenase
EC:1.13.12.3	638	1512	839	887	1094	457	823	Tryptophan 2-monooxygenase
EC:1.13.12.4	330	396	315	695	948	1549	194	Lactate 2-monooxygenase
EC:1.13.99.1	530	1659	1140	543	682	807	18	Inositol oxygenase
EC:1.14.11.1	341	207	275	255	482	341	190	Gamma-butyrobetaine dioxygenase
EC:1.14.11.16	16	0	27	103	23	42	0	Peptide-aspartate beta-dioxygenase
EC:1.14.11.17	32930	7545	11870	19336	39706	16427	4683	Taurine dioxygenase
EC:1.14.11.18	24960	648	1192	2310	673	1268	287	Phytanoyl-CoA dioxygenase
EC:1.14.11.2	11628	4420	11367	22355	5816	19293	2749	Procollagen-proline dioxygenase
EC:1.14.11.27	129	68	180	189	49	123	0	[Histone H3]-lysine-36 demethylase
EC:1.14.11.33	3945	2075	4710	7975	15536	6571	5644	DNA oxidative demethylase
EC:1.14.11.35	0	0	0	0	28	69	0	1-deoxypentalenic acid 11-beta-hydroxylase
EC:1.14.11.47	29524	3899	9351	11899	25145	7737	15697	50S ribosomal protein L16 3-hydroxylase
EC:1.14.12.1	731	432	1461	1282	26503	1510	888	"Anthranilate 1,2-dioxygenase (deaminating, decarboxylating)"
EC:1.14.12.10	3897	1602	3119	5710	22263	5866	864	"Benzoate 1,2-dioxygenase"
EC:1.14.12.11	0	0	0	0	0	22	0	Toluene dioxygenase
EC:1.14.12.12	40	34	38	24	70	66	0	"Naphthalene 1,2-dioxygenase"
EC:1.14.12.15	122	56	62	4	110	5	127	"Terephthalate 1,2-dioxygenase"
EC:1.14.12.17	29251	5958	6581	10173	17397	7735	3216	Nitric oxide dioxygenase
EC:1.14.12.18	0	2	0	0	20	66	22	"Biphenyl 2,3-dioxygenase"
EC:1.14.12.19	16	32	906	1308	324	1197	166	3-phenylpropanoate dioxygenase
EC:1.14.12.3	0	0	0	0	0	22	0	"Benzene 1,2-dioxygenase"
EC:1.14.12.7	19	19	21	68	132	90	11	"Phthalate 4,5-dioxygenase"
EC:1.14.13.1	4938	3541	5685	6696	14590	8069	3021	Salicylate 1-monooxygenase
EC:1.14.13.10	22	59	34	53	15	369	0	"2,6-dihydroxypyridine 3-monooxygenase"
EC:1.14.13.107	168	193	253	427	136	866	416	"Limonene 1,2-monooxygenase"
EC:1.14.13.111	0	0	0	42	42	0	0	Methanesulfonate monooxygenase
EC:1.14.13.113	194	846	1036	575	802	759	140	FAD-dependent urate hydroxylase
EC:1.14.13.114	71	115	375	290	573	244	216	6-hydroxynicotinate 3-monooxygenase
EC:1.14.13.127	3036	3304	6009	10597	6741	8912	4301	3-(3-hydroxy-phenyl)propanoic acid hydroxylase
EC:1.14.13.129	14741	6308	10481	17218	3757	12664	388	Beta-carotene 3-hydroxylase
EC:1.14.13.141	102	608	237	182	233	1786	159	Cholest-4-en-3-one 26-monooxygenase
EC:1.14.13.142	570	954	768	1231	27080	3545	1386	3-ketosteroid 9-alpha-monooxygenase
EC:1.14.13.148	102	189	1699	539	982	845	135	Trimethylamine monooxygenase
EC:1.14.13.149	16344	17223	14352	19764	29527	10211	13990	"Phenylacetyl-CoA 1,2-epoxidase"
EC:1.14.13.151	86	9	85	275	110	998	0	Linalool 8-monooxygenase
EC:1.14.13.163	0	0	27	0	0	0	37	6-hydroxy-3-succinoylpyridine 3-monooxygenase
EC:1.14.13.165	512	355	247	283	175	195	248	Nitric-oxide synthase (NAD(P)H)
EC:1.14.13.172	24583	736	1659	1257	3544	596	1684	Salicylate 5-hydroxylase
EC:1.14.13.2	29170	3873	5063	8498	14475	8216	2416	4-hydroxybenzoate 3-monooxygenase
EC:1.14.13.20	33	112	118	33	165	202	68	"2,4-dichlorophenol 6-monooxygenase"
EC:1.14.13.22	1340	1830	1677	2159	1518	6059	750	Cyclohexanone monooxygenase
EC:1.14.13.25	0	0	0	0	160	0	0	Methane monooxygenase (soluble)
EC:1.14.13.40	3415	4621	5697	6797	6392	3936	1460	Anthraniloyl-CoA monooxygenase
EC:1.14.13.50	0	6	0	0	0	203	182	Pentachlorophenol monooxygenase
EC:1.14.13.59	779	2295	930	1342	817	1170	581	L-lysine N(6)-monooxygenase (NADPH)
EC:1.14.13.7	246	1448	355	446	1573	403	469	Phenol 2-monooxygenase
EC:1.14.13.70	36	52	64	214	110	1051	13	Sterol 14-alpha-demethylase
EC:1.14.13.81	1464	1811	2567	1875	4798	2218	113	Magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase
EC:1.14.13.82	5552	5305	8768	8937	31684	15092	5172	Vanillate monooxygenase
EC:1.14.13.83	3362	2981	3074	3974	4418	4653	1096	Precorrin-3B synthase
EC:1.14.13.84	245	332	471	647	436	2376	337	4-hydroxyacetophenone monooxygenase
EC:1.14.13.9	5519	1567	4344	3347	2502	2806	190	Kynurenine 3-monooxygenase
EC:1.14.14.1	660	552	1215	2820	1010	2071	292	Unspecific monooxygenase
EC:1.14.14.11	0	0	0	0	0	17	0	Styrene monooxygenase
EC:1.14.14.12	634	1175	909	1319	35824	3112	671	"3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase"
