	Phylum	Class
f12284ba8866ff95aed8c5b236e0ba73	p__Proteobacteria	c__Betaproteobacteria
2174b88b3c74cc68a4ab25d5cc9564e2	p__Bacteroidetes	c__Saprospirae
abd743324aae65017995fdf589f71c88	p__Proteobacteria	c__Alphaproteobacteria
9a9e1915f691f24279f7d7124936cc23	p__Bacteroidetes	c__Cytophagia
85ecae7f0d92c06ea3d5c45fdcb0815b	p__Actinobacteria	c__Actinobacteria
3cf917c71ac81dd957eb8850002a9c3b	p__Bacteroidetes	c__Saprospirae
8b4272b2e26abc1bb84b9c4fb83e2794	p__Proteobacteria	c__Alphaproteobacteria
53172802edde92aa6bdcd65f1483ebaf	p__Proteobacteria	c__Alphaproteobacteria
7674efa6ed92c2700629d921bd8bb360	p__Acidobacteria	c__Chloracidobacteria
cc4cc11ee6879895278de507fef1e8c7	p__Actinobacteria	c__Actinobacteria
83d3f3095744349b18876bac3b9db1dd	p__Proteobacteria	c__Betaproteobacteria
8b93f8ebc05fc7972e4e727c58a7437d	p__Bacteroidetes	c__Saprospirae
89f5edf82e16149baa7befd8a8bc0fc5	p__Firmicutes	c__Bacilli
eac95e86ea8742899734120cf7b8dedc	p__Proteobacteria	c__Alphaproteobacteria
c32755a92c797a3aa47adad75d785c69	p__Proteobacteria	c__Alphaproteobacteria
7cc59bbae4ed25413848ade6a6fd2f43	p__Proteobacteria	c__Gammaproteobacteria
f200067ee28e354a55847f0c7a32530f	p__Proteobacteria	c__Betaproteobacteria
0c4f9f8cf5b81928193365f4f2b2df1b	p__Proteobacteria	c__Gammaproteobacteria
5d0d4667e4ed42884adeb22792a12223	p__Proteobacteria	c__Gammaproteobacteria
46256e329fa765868aadc73475febbf2	p__Proteobacteria	c__Alphaproteobacteria
82d72bdd0290e5b9bd07af1afd4d8171	p__Bacteroidetes	c__Sphingobacteriia
7840b65465b80b3b2bf303beef1d7694	p__Cyanobacteria	c__Synechococcophycideae
38031a651e96cd35c1da57d51417b45b	p__Proteobacteria	c__Alphaproteobacteria
24f5ef905de3cca754b33931dda9d822	p__Proteobacteria	c__Gammaproteobacteria
7150ec709c8ed9a1ddb1f1935e4bfde9	p__Proteobacteria	c__Alphaproteobacteria
59947b808e8ebd179ab170acc910710a	p__Proteobacteria	c__Gammaproteobacteria
d27497abc9bb3f6466c1294d88a74daa	p__Proteobacteria	c__Alphaproteobacteria
980a766abd6b0d0cbf990afdac9bae9e	p__Proteobacteria	c__Betaproteobacteria
f05e2b8096964d7ba0a06798e0d89265	p__Proteobacteria	c__Alphaproteobacteria
84c6b25c8836504d3b45d2c7216797e7	p__Proteobacteria	c__Alphaproteobacteria
b586998545cfa166360dbca351b2ea00	p__Proteobacteria	c__Gammaproteobacteria
46f6aad85fa35ccc1bc3ca562add5ac2	p__Proteobacteria	c__Alphaproteobacteria
6532a94a70a2707bc95d2b6c14212aec	p__Bacteroidetes	c__Saprospirae
133af9173f53ac0abe21881c0370844e	p__Proteobacteria	c__Gammaproteobacteria
4a7892abf2aff770512b55b8383fd4b3	p__Proteobacteria	c__Alphaproteobacteria
420d274fc751f7737c4c10c5bf313e85	p__Proteobacteria	c__Gammaproteobacteria
becf36a8c4ade2a431f90534beb60f2f	p__Actinobacteria	c__Actinobacteria
921e79857f127bce712595948aae6c6b	p__Proteobacteria	c__Alphaproteobacteria
751ccdd73305bc09dbd1332718d8490b	p__Proteobacteria	c__Alphaproteobacteria
acfd4158e3da73aa899151b1b4f56760	p__TM7	c__TM7_1
2bfef227a38f743de2c82f617ee98043	p__Proteobacteria	c__Alphaproteobacteria
01ef2928529046c4aa8417f529fb1fb6	p__Firmicutes	c__Bacilli
14dec64ea475d6bf0539f03bd52a4ee9	p__Proteobacteria	c__Alphaproteobacteria
dbaa4155342bc03d02a90998fc757dfb	p__Firmicutes	c__Bacilli
1d4bf83390bc1654f401057fc7f982eb	p__Proteobacteria	c__Alphaproteobacteria
cfbf3ca4e1f272edd5050383a2303c3d	p__Proteobacteria	c__Alphaproteobacteria
56b58b0d068747431f90d01d675540ee	p__Proteobacteria	c__Alphaproteobacteria
1d4c199ba6de9131590da89b3cb48609	p__Firmicutes	c__Clostridia
3bab016653bb09bc4ab60625f511b924	p__Proteobacteria	c__Betaproteobacteria
bdf8cefa9f373d67e8da9ef6f54a848a	p__Proteobacteria	c__Betaproteobacteria
197b770a0697d94bf76ea72142785733	p__Proteobacteria	c__Betaproteobacteria
b009ead02e95310aee03ac3744f7270f	p__Bacteroidetes	c__Cytophagia
3438e9a6a924daacafbb56a2bd500f37	p__Bacteroidetes	c__Cytophagia
3064ff6276cdfaaa0eb5e783af74b4af	p__Proteobacteria	c__Alphaproteobacteria
951c4e0c15b0f33e30974cc68fa4150f	p__Proteobacteria	c__Alphaproteobacteria
b0b683c3c3e89b9123982068289fbd64	p__Proteobacteria	c__Deltaproteobacteria
299108e64977dd985d94ad9091ba0198	p__Proteobacteria	c__Gammaproteobacteria
c523c2dccbc421efec86f69f5c0fc7e5	p__Bacteroidetes	c__Cytophagia
172598cee3bb81d5be1c757f78c1b394	p__Proteobacteria	c__Betaproteobacteria
7a65e335a6f6c9d745de4b77c3132224	p__Proteobacteria	c__Gammaproteobacteria
1783e376f53aa0fe35f98cc3f0a25e38	p__Proteobacteria	c__Betaproteobacteria
a578c68a29e6fbaa0e2535dba3b1f07c	p__Bacteroidetes	c__Bacteroidia
4fee1a60e5b1edeffb5726c0fcd676d6	p__Proteobacteria	c__Alphaproteobacteria
bed9f8b434b9a986c5c7777293b00b49	p__Proteobacteria	c__Alphaproteobacteria
08255dbbc27ad1f48ca5cea9c006b896	p__Firmicutes	c__Clostridia
1ca55942d31944a593c7fc2f7787338a	p__Bacteroidetes	c__Sphingobacteriia
dabe6034a5bce9c26eba162da6b7a442	p__Proteobacteria	c__Alphaproteobacteria
50f679c1eedb9b77a2709a050740e63c	p__Proteobacteria	c__Gammaproteobacteria
536071db9050787b64c0d4520ce04b29	p__Bacteroidetes	c__Cytophagia
e9eba6c8a844067493869a6f1a85b864	p__Proteobacteria	c__Gammaproteobacteria
787186686596bac0703a4ea77ca2bd32	p__Proteobacteria	c__Alphaproteobacteria
ac5d7c42059f768edff1024266c10575	p__Proteobacteria	c__Gammaproteobacteria
9161c8b4ec312fc3908326b8b7e58e78	p__Proteobacteria	c__Gammaproteobacteria
bc46b9a7067b917bbf6d6ca941287b3e	p__Proteobacteria	c__Alphaproteobacteria
9401ea9f576d27d0a876df4baa126442	p__Proteobacteria	c__Epsilonproteobacteria
83c9dbee9ebff5c938a1ea611154de0c	p__Proteobacteria	c__Alphaproteobacteria
24547e655cfe52a91e6759ce38ef8e15	p__Proteobacteria	c__Epsilonproteobacteria
522df58a6271581b51418069bde46aea	p__Nitrospirae	c__Nitrospira
711304ed6967bcf33cd8d6ef3d258c60	p__Acidobacteria	c__Chloracidobacteria
ae186af0001e5e6ec01d55332dd185e1	p__Bacteroidetes	c__Sphingobacteriia
172b70373b8e68a137ad1b202de0e0f3	p__Acidobacteria	c__Chloracidobacteria
0cff7056a76f0ebd15ebdc0d788e3b02	p__Firmicutes	c__Bacilli
1191ca4bdf2111c2faa7e2dc9d6772ee	p__Proteobacteria	c__Alphaproteobacteria
e8d27552ddefc27ae55107365eb55048	p__Proteobacteria	c__Epsilonproteobacteria
a3188cb16c91547b936369a42ec6b888	p__Proteobacteria	c__Gammaproteobacteria
d30dd8c8f12d816adcab57c4ee88f7ec	p__Proteobacteria	c__Betaproteobacteria
7b1b809f4cb554c7ed2b6a46fe2c249c	p__Proteobacteria	c__Alphaproteobacteria
cf78d6837c8eb112fe08d8866df5bf09	p__Proteobacteria	c__Gammaproteobacteria
77412a95f460b25624d7f8c0ca3349ba	p__Proteobacteria	c__Gammaproteobacteria
4f0219ce56d53fa986d3136e586d6707	p__Bacteroidetes	c__Saprospirae
7e47d7a3f29e9c5ad1baf6c16bddf484	p__Actinobacteria	c__Actinobacteria
ebcde9a0ec49314ce1d934992cf01838	p__Bacteroidetes	c__Saprospirae
0fb2736cfead72d281dc87f07cadcbf2	p__Proteobacteria	c__Alphaproteobacteria
91df0cf1fbcbc81d83b306f5f18558e5	p__Proteobacteria	c__Gammaproteobacteria
d6873b722285fbc1e68ac22009e95f09	p__Bacteroidetes	c__Flavobacteriia
d2f0bb066dafb8f2fc383e5331f312eb	p__Proteobacteria	c__Betaproteobacteria
0ff70f0758cef94f8dcda7efce673c77	p__Proteobacteria	c__Alphaproteobacteria
008dee72fa0730d6ecacae65fc3b21fa	p__Proteobacteria	c__Alphaproteobacteria
c7a45bcc1baa781626eaad6df491fd1c	p__Proteobacteria	c__Betaproteobacteria
8467959c9e952cc9975a533d4258ddd6	p__Proteobacteria	c__Gammaproteobacteria
29abe5ada26259bd5547dc47b800db41	p__Proteobacteria	c__Alphaproteobacteria
5382ae4dc68799bd056d7c48ecc40acb	p__Verrucomicrobia	c__Verrucomicrobiae
0b10a47a28224b912d8010afa2637615	p__Proteobacteria	c__Gammaproteobacteria
95e9834170d139939ea44a39da1f445b	p__Proteobacteria	c__Betaproteobacteria
9d864d00e55802a1e743976ee714242a	p__Proteobacteria	c__Alphaproteobacteria
ffc04b0315b004e9b64c49fc92b142bd	p__Proteobacteria	c__Alphaproteobacteria
b8f0560244682abf49b83786d656eab2	p__Cyanobacteria	c__Synechococcophycideae
d47ca699bcd2412be0c7ab2ba78ac91c	p__Proteobacteria	c__Alphaproteobacteria
7d980d37be2c08906e7452d9f23c1e85	p__Actinobacteria	c__Actinobacteria
4ec5b06a242af888a5049be555837959	p__Proteobacteria	c__Betaproteobacteria
b01b1e295dc811389080e6d5608e3591	p__TM7	c__TM7_3
8ccacf68d5f284979d37ade8a39ab50e	p__Proteobacteria	c__Alphaproteobacteria
a6f79e3a8d1d98b7b8e03c762557f41f	p__Proteobacteria	c__Alphaproteobacteria
b586d63c57199097f67d944e71baebe7	p__Proteobacteria	c__Gammaproteobacteria
a13151d5f882f66efb76ed80887e7372	p__Proteobacteria	c__Alphaproteobacteria
692cf6597142276099e1c731ba1e8c01	p__Proteobacteria	c__Alphaproteobacteria
9a17d2f293f6d2d8ef3a938f5bdc99e1	p__Actinobacteria	c__Actinobacteria
8c9e32afbaaff5c0880a42fd26fbdd31	p__Proteobacteria	c__Alphaproteobacteria
632a298d54182a5b720fb4baf2581006	p__Proteobacteria	c__Alphaproteobacteria
4854bdde09476dc0423000e2b8772eb1	p__Proteobacteria	c__Alphaproteobacteria
f4c02c0bb647cd224d7653d58a8baa8b	p__Firmicutes	c__Clostridia
c35d7c3af325d5eebd71773ea45ac787	p__Bacteroidetes	c__Bacteroidia
bd0d39fcac24c23b670b986e7b5f891b	p__Proteobacteria	c__Alphaproteobacteria
e648242176d7dcc2deec873a42f2d6b5	p__Proteobacteria	c__Betaproteobacteria
1bd856db1dc33ae1e8ef90d63dcb1237	p__Acidobacteria	c__Chloracidobacteria
71628ab1838863719d47e99c26306e2e	p__Proteobacteria	c__Betaproteobacteria
c279f665ecd62731e9b77d3aeb8e5424	p__Proteobacteria	c__Alphaproteobacteria
3f5f815b69489413c147ea16b37eeabf	p__Actinobacteria	c__Actinobacteria
e75c52ac65f61775650149e7897372e8	p__Proteobacteria	c__Alphaproteobacteria
2d329d2f161ccc9f3183eeb809a998a0	p__Proteobacteria	c__Alphaproteobacteria
4f83059ba965c28ae17a0e968e7fbd6d	p__Proteobacteria	c__Alphaproteobacteria
e398b29641d21333aeba8d524ef29b34	p__Proteobacteria	c__Alphaproteobacteria
39628a4133ff0ef2fbc7637b7a5ce042	p__Acidobacteria	c__Chloracidobacteria
3b647b56cbd9cf8df235b09705ce3e05	p__Proteobacteria	c__Alphaproteobacteria
ed2ab3ccdea2708b138ed90ae8cee0f7	p__Proteobacteria	c__Gammaproteobacteria
29a23cd3c9adcabe90d178bdab4028ca	p__Proteobacteria	c__Alphaproteobacteria
2d4ff8b9d6d43b73ccf99c238df30d1c	p__Proteobacteria	c__Alphaproteobacteria
fb1827b33248c72591e5db04b91b4677	p__Proteobacteria	c__Betaproteobacteria
8aa0d9136e6638866916467a8a437834	p__Proteobacteria	c__Alphaproteobacteria
91efcbac7359c52a1ad25eae006b3e8a	p__Proteobacteria	c__Alphaproteobacteria
7a7fd7bf5e63302d03488dd21c2b7431	p__Actinobacteria	c__Actinobacteria
20e9e12a6e71433acee1058f7ac27d18	p__Cyanobacteria	c__Synechococcophycideae
5c3f0e397028075d657e0592c33e8ff5	p__Proteobacteria	c__Gammaproteobacteria
5f7addece8ceacd2b051e16f1223f933	p__Proteobacteria	c__Betaproteobacteria
fc9c31c87def6f5dd3c96ed04981912f	p__Actinobacteria	c__Actinobacteria
1fba73d93c1ea70a8402901e3d7b1262	p__Proteobacteria	c__Gammaproteobacteria
07aeff9f4fe7562c8e550739aed5dad4	p__Bacteroidetes	c__Bacteroidia
df9211f74d4c88cb49f575c579a76c1e	p__Bacteroidetes	c__Cytophagia
4e834aba75c3cc02cbffcdb897174f52	p__Proteobacteria	c__Gammaproteobacteria
5d65dc910f1cd5cc7d95be801be19923	p__Proteobacteria	c__Gammaproteobacteria
